commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Laundry Soap,Champion Supra Power Citrus Fresh,390g,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0
Laundry Soap,Tide with Freshness of Downy - Garden Bloom & Perfume Fantasy,380g,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0
Laundry Soap,Speed Bar Blue (Luzon),360g,19.0,19.0,19.0,19.0,19.0,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Laundry Soap,Champion Supra Power Original Supra Clean,390g,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0
Laundry Soap,Bareta Bar Blue (Visayas and Mindanao),360g,16.5,16.5,16.5,16.5,,,,,,,,
Laundry Soap,Budget Bar Pink Carnation,380g,17.75,17.25,17.25,17.25,16.45,16.5,17.25,17.25,17.25,17.25,17.25,
Laundry Soap,Budget Bar Sunflower Fresh,380g,17.75,17.25,17.25,17.25,16.45,16.5,17.25,17.25,17.25,17.25,17.25,
Laundry Soap,Budget Bar Citrus Scent,380g,17.75,17.25,17.25,17.25,16.45,16.45,17.25,17.25,17.25,17.25,17.25,
Laundry Soap,Budget Bar Purple Blossom,380g,17.75,17.25,17.25,17.25,16.45,17.75,17.25,17.25,17.25,17.25,17.25,
Laundry Soap,Budget Bar Power Blue,360g,,17.25,17.25,17.25,16.45,16.5,17.25,17.25,17.25,17.25,17.25,17.25
Bread - Loaf,Pinoy Tasty,450g,35.0,35.0,38.5,38.5,38.5,38.5,,38.5,38.5,38.5,38.5,38.5
Bread - Loaf,Gardenia Classic,400g,49.75,50.75,50.75,50.75,52.5,52.5,,55.0,55.0,55.0,57.0,57.0
Bread - Loaf,SM Bonus White Bread,450g,38.5,42.5,42.5,42.5,42.5,42.5,47.5,47.5,47.5,47.5,47.5,47.5
Bread - Loaf,Gardenia Classic (Regular/Thick Slice),600g,69.75,72.0,72.0,72.0,75.0,75.0,75.0,79.0,79.0,79.0,82.0,82.0
Bread - Loaf,Marby Super Loaf,600g,69.0,64.75,64.75,69.75,73.75,73.75,73.75,77.75,77.75,77.75,77.75,77.75
Bread - Loaf,Marby John Pullman Special Pinoy Loaf,450g,,,,,52.75,52.75,52.75,56.75,56.75,56.75,56.75,56.75
Bread - Pandesal,Pinoy Pandesal,10pcs./pack,21.5,21.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Bread - Pandesal,Gardenia Soft Delight Pandesal,,42.5,42.5,42.5,42.5,44.5,44.5,44.5,50.0,50.0,50.0,50.0,53.0
Bread - Pandesal,Marby Pandesal,,48.0,55.0,55.0,55.0,55.0,55.0,55.0,,,,,
Instant Noodles - Chicken,Payless Instant Mami Chicken,55g,6.7,6.7,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.0,7.0,7.0
Instant Noodles - Chicken,Ho-Mi Instant Mami Noodles - Chicken & Garlic,55g,7.65,7.65,7.9,7.9,7.9,8.1,8.1,8.1,8.2,8.2,8.2,8.2
Instant Noodles - Chicken,Nissin Ramen Instant Noodles - Chicken,55g,8.75,9.5,9.5,9.5,9.5,10.25,10.25,10.25,10.25,10.25,10.25,10.25
Instant Noodles - Chicken,Lucky Me Instant Mami Chicken na Chicken Noodles,55g,8.0,8.0,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Instant Noodles - Chicken,Quick Chow Instant Mami Chicken,55g,7.0,7.0,7.0,7.0,7.0,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Instant Noodles - Beef,Payless Instant Mami Beef,55g,6.7,6.7,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.0,7.0,7.0
Instant Noodles - Beef,Ho-Mi Instant Mami Noodles - Beef Brisket,55g,7.65,7.65,7.9,7.9,7.9,8.1,8.1,8.1,8.1,8.2,8.2,8.2
Instant Noodles - Beef,Nissin Ramen Instant Noodles - Beef,55g,8.75,9.5,9.5,9.5,9.5,10.35,10.35,10.35,10.35,10.35,10.35,10.35
Instant Noodles - Beef,Lucky Me Instant Mami Beef na Beef Noodles,55g,8.0,8.0,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Instant Noodles - Beef,Quick Chow Instant Mami Beef,55g,7.0,7.0,7.0,7.0,7.0,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Processed Milk - Condensada,Alaska Condensada (Sweetened Condensed Creamer),300mL,44.0,41.5,47.5,47.5,47.5,47.5,49.0,49.0,49.0,51.5,51.5,51.5
Processed Milk - Condensada,Angel Condensada (Sweetened Condensed Creamer),380g,38.9,40.0,41.0,43.5,41.0,41.0,41.0,47.5,45.0,45.0,49.5,53.95
Processed Milk - Condensada,Cow Bell Condensada (Sweetened Condensed Creamer),300mL,31.75,31.75,34.25,34.25,34.25,34.25,35.25,35.25,35.25,37.25,37.25,37.25
Processed Milk - Condensada,Liberty Condensada (Sweetened Creamer),300mL,45.25,45.25,49.0,49.0,49.0,49.0,50.5,50.5,50.5,53.0,53.0,53.0
Processed Milk - Condensada,Liberty Condensada (Sweetened Creamer),168mL,28.75,28.75,32.0,32.0,32.0,33.0,33.0,33.0,33.0,34.0,34.75,34.75
Processed Milk - Condensada,Alaska Condensada (Sweetened Condensed Creamer),168mL,28.75,28.75,31.0,31.0,31.0,29.6,32.0,32.0,32.0,33.5,33.5,33.5
Processed Milk - Condensada,Jolly Cow Condensada,390mL,33.5,33.5,35.0,35.0,41.5,46.5,46.5,46.5,46.5,50.0,50.0,50.0
Processed Milk - Condensada,Goolait Sweetened Condensed Creamer,390g,32.9,32.9,35.5,35.5,35.5,35.5,35.5,35.5,36.0,36.0,36.0,36.0
Salt - Iodized Rock,Fidel Iodized Salt - Coarse Sea Salt (LUZON),250g,6.85,6.85,6.85,7.4,7.25,7.25,7.25,7.25,9.75,10.0,10.0,9.75
Salt - Iodized Rock,Fidel Iodized Salt - Coarse Sea Salt (LUZON),500g,13.4,13.4,13.4,14.5,14.5,14.5,14.5,19.5,19.5,19.5,19.5,19.5
Salt - Iodized Rock,Lasap Iodized Rock Salt,250g,6.25,6.25,6.25,6.25,6.25,7.0,6.25,7.0,7.0,7.0,7.0,6.25
Salt - Iodized Rock,Lasap Iodized Rock Salt,500g,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,12.5,12.5,12.5,11.25
Salt - Iodized Rock,Lasap Iodized Rock Salt,1kg,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Salt - Iodized,Fidel Iodized Salt - Free Flowing Salt (Green) LUZON,250g,10.25,10.25,9.75,11.1,10.75,10.75,10.75,10.75,11.75,11.75,11.75,11.75
Salt - Iodized,Fidel Iodized Salt - Refined Sea Salt (BLUE) LUZON,250g,7.35,7.35,7.35,7.95,7.95,7.95,7.95,7.95,10.5,10.5,10.5,10.5
Salt - Iodized,McCormick Iodized Salt,150g,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,13.5,13.5
Salt - Iodized,Fidel Iodized Salt - Free Flowing Salt (Green) LUZON,500g,17.2,17.2,17.2,19.6,18.75,18.75,18.75,18.75,22.75,22.75,22.75,22.75
Salt - Iodized,Fidel Iodized Salt - Refined Sea Salt (Blue) LUZON,500g,14.45,14.45,14.45,15.65,15.65,15.65,15.65,21.0,21.0,21.0,21.0,21.0
Salt - Iodized,McCormick Salt - 500g,500g,28.5,28.5,28.5,28.5,28.5,28.5,31.25,28.5,28.5,28.5,32.0,32.0
Salt - Iodized,Fidel Coarse Salt (RED) 1kg,1kg,19.0,19.0,19.0,29.25,29.25,28.5,28.5,28.5,28.75,28.5,28.5,28.5
Salt - Iodized,Fidel Refined Salt (BLUE) 1kg,1kg,25.0,25.0,25.0,30.25,30.25,30.25,31.0,31.0,31.0,31.0,31.0,31.0
Salt - Iodized,Fidel Free Flowing Salt (GREEN) 1kg,1kg,,30.2,30.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Salt - Iodized,McCormick Salt - 1kg,1kg,46.5,46.5,46.5,46.5,50.25,51.0,51.0,51.0,51.0,51.0,54.0,54.0
Salt - Iodized,Lasap Iodized Salt,100g,3.75,3.75,3.75,3.45,3.75,3.7,3.75,3.7,3.7,3.95,3.95,3.95
Salt - Iodized,Lasap Iodized Salt,250g,7.5,7.5,7.5,7.5,7.5,7.5,8.5,8.5,9.0,8.5,9.0,8.5
Salt - Iodized,Lasap Iodized Salt,500g,13.25,13.25,13.25,13.25,13.25,13.25,14.85,14.85,16.0,16.0,16.0,16.0
Salt - Iodized,Lasap Iodized Salt,1kg,25.75,25.75,25.75,25.75,25.75,25.75,28.75,28.75,29.0,28.75,29.0,28.75
Bottled Water - Distilled,Wilkins Distilled,330mL,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Bottled Water - Distilled,Wilkins Distilled,500mL,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Bottled Water - Distilled,ABSOLUTE Pure Distilled Drinking Water,350mL,11.0,11.0,10.45,10.45,11.75,11.75,11.0,11.75,11.75,11.75,11.75,11.75
Bottled Water - Distilled,ABSOLUTE Pure Distilled Drinking Water,500mL,15.0,15.0,15.75,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Bottled Water - Distilled,Wilkins Distilled,1L,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Bottled Water - Distilled,Wilkins Distilled,7L,85.0,80.0,80.0,80.0,85.0,80.0,80.0,85.0,88.0,88.0,88.0,88.0
Bottled Water - Distilled,ABSOLUTE Pure Distilled Drinking Water,1L,25.5,26.75,24.25,24.25,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75
Bottled Water - Distilled,ABSOLUTE Pure Distilled Drinking Water,6L,78.0,78.0,77.25,77.25,77.25,77.25,78.0,78.0,78.0,78.0,78.0,78.0
Bottled Water - Distilled,SM Bonus Distilled Drinking Water,325mL,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Bottled Water - Distilled,SM Bonus Distilled Drinking Water,500mL,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Bottled Water - Distilled,SM Bonus Distilled Drinking Water,6L,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Bottled Water - Purified,Wilkins Pure,500mL,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Bottled Water - Purified,Wilkins Pure,1L,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Bottled Water - Purified,Natures Spring Drinking Water - Purified,500mL,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
Bottled Water - Purified,Natures Spring Drinking Water - Purified,1L,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Bottled Water - Purified,Magnolia Pure Purified Water,355mL,8.5,8.5,8.5,8.5,,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Bottled Water - Purified,Magnolia Pure Purified Water,500mL,10.5,10.5,10.5,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Bottled Water - Purified,Refresh Purified Water,500mL,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
Bottled Water - Purified,Aquafina Purified Drinking Water,500ml,12.0,12.0,12.0,12.0,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
Bottled Water - Purified,Aquafina Purified Drinking Water,350ml,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.1
Bottled Water - Mineral,Hidden Spring Mineral Water,330mL,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.8,8.8
Bottled Water - Mineral,Hidden Spring Mineral Water,500mL,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.25,10.25,,12.1,12.1
Bottled Water - Mineral,Summit Natural Drinking Water,350mL,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0
Bottled Water - Mineral,Summit Natural Drinking Water,500mL,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Bottled Water - Mineral,Summit Natural Drinking Water,1L,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Bottled Water - Mineral,Summit Natural Drinking Water,6L,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Bottled Water - Mineral,Viva Mineralized Water - Eco Bottle (Luzon),330mL,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Bottled Water - Mineral,Viva Mineralized Water - Eco Bottle (Nationwide),500mL,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Bottled Water - Mineral,Viva Mineralized Water - Eco Bottle (Nationwide),1L,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Bottled Water - Mineral,Robinsons Supersavers Nature's Pure Mineral Water,330mL,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,7.15,7.15,7.15,7.15
Bottled Water - Mineral,Robinsons Supersavers Nature's Pure Mineral Water,500mL,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,8.7,8.7,8.7,8.7
Bottled Water - Mineral,Robinsons Mall Mineral Water,500mL,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,10.45,10.45,10.45,10.45
Bottled Water - Mineral,Refresh Mineral Water,350mL,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Bottled Water - Mineral,Refresh Mineral Water,500mL,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Candles,Liwanag Esperma #03 - White,White,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,58.35,62.25,62.25
Candles,Liwanag Esperma Candle (White) #05,White,72.0,72.0,72.0,83.0,83.0,83.0,83.0,72.0,72.0,83.0,83.0,83.0
